parcel_name,parcel_id,area_geo,area_geo_units,area_manual,area_manual_units,coordinates,area_units,area,lon,lat
parcel2,7ad2c172-090b-4197-9bb5-b21eeedecc2e,15.8425,HA,15.8,HA,,HA,15.8,-8.216006666666667,38.576413333333335
parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,3.8009,HA,3.79,HA,,HA,3.79,-8.209533333333333,38.57288
parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,43.4154,HA,43.3,HA,,HA,43.3,-8.20615,38.57477333333333
parcel5,a4d38620-6c13-4754-93a3-c58d2bac76fb,3.5952,HA,NA,HA,,HA,3.5952,-8.218815384615384,38.577815384615384
parcel6,2cab2226-8037-4d3e-adcd-b3116bb5ec17,1.8722,HA,NA,HA,,HA,1.8722,-8.218752631578948,38.573252631578946
parcel7,c8cc07d9-a08d-4e3d-ae1f-d791f7937590,2.4546,HA,NA,HA,,HA,2.4546,-8.22028181818182,38.57445454545454
parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,7.8562,HA,7.84,HA,,HA,7.84,-8.217821428571428,38.57412142857143
